Response_ID,今年的中秋節您有與家人團聚嗎？（延後到國慶連假也算）,今年中秋節（含國慶連假）團圓時您有烤肉嗎？,肉片:請問在烤肉時，您最喜歡的食材是哪些？（可複選）,香腸:請問在烤肉時，您最喜歡的食材是哪些？（可複選）,黑輪:請問在烤肉時，您最喜歡的食材是哪些？（可複選）,玉米:請問在烤肉時，您最喜歡的食材是哪些？（可複選）,貢丸:請問在烤肉時，您最喜歡的食材是哪些？（可複選）,米血:請問在烤肉時，您最喜歡的食材是哪些？（可複選）,蔬菜:請問在烤肉時，您最喜歡的食材是哪些？（可複選）,海鮮:請問在烤肉時，您最喜歡的食材是哪些？（可複選）,雞翅、雞腿:請問在烤肉時，您最喜歡的食材是哪些？（可複選）,豆干、豆腐:請問在烤肉時，您最喜歡的食材是哪些？（可複選）,我喜歡的是：:請問在烤肉時，您最喜歡的食材是哪些？（可複選）,對於這種「到府烤肉」服務，您的感受是？,喜歡，因為…:對於這種「到府烤肉」服務，您的感受是？,不喜歡，因為…:對於這種「到府烤肉」服務，您的感受是？,如果大家都烤肉，您會覺得「不好玩」嗎？,如果大家都烤肉，您會覺得「不好玩」嗎？: Comments,無論您喜不喜歡烤肉，現在我們來談談對它的印象吧。 您覺得戶外的烤肉對您的健康有多大影響？,對您來說，烤肉費用的支出是不是一種負擔？,對您來說，烤肉費用的支出是不是一種負擔？: Comments,準備烤肉食材對您來說會不會很麻煩？,在烤肉活動中，請問下列哪一項是您最無法忍受的？,我最受不了的是：:在烤肉活動中，請問下列哪一項是您最無法忍受的？,在烤肉活動中，請問下列哪一項是您最無法忍受的？: Comments,您在不在意您烤肉時造成的污染嗎？,您在不在意您烤肉時造成的污染嗎？: Comments,請問這樣的活動對您來說有趣嗎？,請問您是否參與過這類的大型烤肉活動？,我覺得「封街烤肉」…,我覺得：:我覺得「封街烤肉」…,請問您比較喜歡「封街大家一起烤肉」，還是「自己家烤自己的」？,集體烤肉，因為：:請問您比較喜歡「封街大家一起烤肉」，還是「自己家烤自己的」？,自己烤，因為：:請問您比較喜歡「封街大家一起烤肉」，還是「自己家烤自己的」？,請問您比較喜歡「封街大家一起烤肉」，還是「自己家烤自己的」？: Comments,最後，我們來談談節慶與團聚。 請問您覺得一天之內自己可以自由支配的時間（用來做自己想做的事）大約有多少？,春節:請問您今年挑了什麼時間與全家團聚（可複選）？,端午:請問您今年挑了什麼時間與全家團聚（可複選）？,中秋:請問您今年挑了什麼時間與全家團聚（可複選）？,長假連假:請問您今年挑了什麼時間與全家團聚（可複選）？,平時週休或排假時:請問您今年挑了什麼時間與全家團聚（可複選）？,以上都沒有:請問您今年挑了什麼時間與全家團聚（可複選）？,說回到烤肉，請問您明年會不會想全家人一起烤肉？,"平時用社群媒體（Line, Facebook等）與家人聯繫感情。您覺得夠不夠？","我有其他想法：:平時用社群媒體（Line, Facebook等）與家人聯繫感情。您覺得夠不夠？","平時用社群媒體（Line, Facebook等）與家人聯繫感情。您覺得夠不夠？: Comments",大家圍著烤肉比其他活動要較為容易聯絡感情。,"「請問您多常使用手機上的社群媒體（Line, FB等）APP與家人聯絡？」",請問您使用手機與家人聯絡時，比較喜歡使用文字簡訊（例如Line留言），還是使用講話（含視訊）？,關於性別，您會以生理性別或社會性別來描述自己？,Gender,Social_gender,Bornyear,Edu,Residence,Job,Other_Job
69,1,1,1,,,4,,,,8,9,,,3,,,2,,2,1,,1,3,,,2,,2,2,5,,4,,,,2,,,3,,,,6,2,,,2,2,1,,0,0,1985,大學,2,服務工作人員及銷售員,
70,1,1,1,2,,,,6,7,8,9,,,3,,,1,,2,2,,1,2,,這個格子到底是???,3,這個格子到底是???,1,2,2,,1,,,這個格子到底是???,3,,,,,5,,1,2,,這個格子到底是???,2,1,1,,1,0,1984,大學,9,技術工作及有關工作人員,
71,1,1,1,2,,,,,,8,,,,3,,,2,,1,3,,2,5,,,2,,2,1,5,,3,,,,3,1,2,3,4,5,,3,3,,,2,3,2,,0,0,1986,大學,4,技術員及助理專業人員,
72,1,2,,,,,,,,,,,,2,,,2,,1,2,,1,4,,,1,,1,2,3,,2,,,,2,1,2,3,4,5,,5,3,,,1,1,1,,1,0,1970,,,,
73,1,1,,,,,,,,,,,90,3,,,2,,2,2,,1,2,,,2,,1,2,3,,2,,,,3,1,2,3,4,5,,8,3,,,1,2,1,,0,0,1992,大學,14,事務工作人員,
74,1,1,1,,,,,,,8,,,,3,,,2,,1,2,,2,1,,,2,,2,1,5,,3,,,,2,,,,,5,,6,3,,,2,2,2,,0,0,1992,高中/職,8,服務工作人員及銷售員,
75,2,2,,,,,,,,,,,,3,,,2,,1,1,,1,2,,,1,,2,2,4,,99,,,,2,1,,,,,,5,2,,,2,1,1,,0,0,1984,研究所以上,15,其他,
76,1,2,,,,,,,,,,,,3,,,1,,1,1,,1,1,,,1,,2,1,5,,3,,,,1,1,2,,4,,,0,1,,,2,1,2,,0,3,1999,高中/職,4,學生,
77,1,2,,,,,,,,,,,,3,,,2,,1,2,,1,1,,,1,,2,1,4,,3,,,,2,1,2,3,4,5,,5,2,,,2,2,1,,0,0,1992,大學,14,學生,
78,1,1,1,2,3,,,,,8,,,,3,,,2,,1,2,,1,1,,,2,,1,2,3,,1,,,,3,1,,,4,,,7,3,,,2,2,1,,0,0,1988,大學,15,事務工作人員,
80,2,2,,,,,,,,,,,,3,,,2,,2,1,,1,2,,,1,,2,2,5,,3,,,,1,1,,,,,,4,2,,,2,2,1,,1,0,1996,大學,4,學生,
81,1,2,,,,,,,,,,,,3,,,2,,2,2,,1,2,,,1,,1,2,2,,1,,,,1,1,,3,4,5,,5,3,,,1,1,1,,1,0,1993,大學,8,非技術工及體力工,
82,1,2,,,,,,,,,,,,3,,,2,,2,1,,1,5,,,1,,2,2,4,,4,,,,3,1,2,3,4,5,,6,3,,,1,1,1,,0,0,1996,大學,2,學生,
83,1,1,,,,,,,,8,,,,3,,,2,,2,2,,2,1,,,3,,1,2,2,,1,,,,2,,,,,5,,9,3,,,1,1,1,,0,0,1982,大學,8,事務工作人員,
84,1,2,,,,,,,,,,,,3,,,2,,2,2,,1,4,,,2,,2,1,5,,3,,,,2,1,,3,,5,,3,2,,,2,1,1,,0,0,1995,大學,4,學生,
85,1,1,1,,,4,,,7,8,,,,3,,,2,,2,2,,2,1,,,2,,2,2,5,,3,,,,1,1,2,3,4,5,,10,4,,,2,4,1,,0,0,1995,大學,11,學生,
86,1,1,1,2,3,,5,,7,,,,,3,,,2,,1,1,,2,90,坐姿不良不舒服,,2,,2,2,4,,3,,,,2,1,2,3,4,,,5,3,,,2,1,1,,0,0,1992,研究所以上,11,專業人員,
87,1,1,1,2,,,,6,,,,10,90,3,,,2,,1,2,,2,2,,,2,,2,2,4,,3,,,,3,1,2,3,4,5,,10,3,,,1,2,1,,0,0,1998,大學,8,學生,
88,1,2,,,,,,,,,,,,1,,,2,,2,1,,1,2,,,1,,2,2,3,,99,,,,2,1,,,4,,,5,3,,,2,2,1,,1,0,1995,大學,14,學生,
89,1,2,,,,,,,,,,,,2,,,2,,1,1,,1,1,,,1,,2,2,5,,4,,,,2,1,,3,,5,,0,2,,,2,1,1,,0,1,1994,大學,1,專業人員,
90,1,2,,,,,,,,,,,,3,,,2,,1,2,,1,2,,,1,,2,1,5,,4,,,,1,,,,4,,,6,2,,,2,1,1,,0,0,1994,,5,,
91,1,1,1,,,,5,,,,9,,,1,,,2,,2,1,,1,5,,,2,,1,1,2,,1,,,,3,,,3,4,,,6,3,,,1,1,2,,0,0,1998,大學,9,學生,
92,1,2,,,,,,,,,,,,3,,,1,,1,1,,1,5,,,3,,1,2,4,,4,,,,2,1,,,,,,5,3,,,1,3,2,,1,0,1973,專科,2,待業或無業,
94,1,1,,,3,4,,,7,,,,,3,,,2,,2,1,,2,5,,,3,,1,1,2,,3,,,,4,,,3,,,,9,3,,,1,2,1,,0,1,1979,專科,15,家管,
95,1,1,1,2,3,4,5,6,7,8,9,10,,2,,,2,,2,2,,1,1,,,1,,1,2,3,,2,,,,3,1,2,3,4,,,9,3,,,1,1,2,,0,6,1984,研究所以上,12,技術工作及有關工作人員,
96,1,1,1,2,3,4,,,7,,,10,,3,,,2,,2,1,,1,1,,,1,,2,2,5,,3,,,,3,1,,3,,,,7,2,,,1,1,1,,0,0,1974,高中/職,4,家管,
97,2,1,1,2,,,,,,8,,,,3,,,2,,2,2,,2,4,,,2,,1,2,3,,2,,,,3,,,,4,5,,5,3,,,1,2,2,,0,0,1994,大學,20,學生,
98,1,2,,,,,,,,,,,,1,,,2,,1,2,,1,1,,,1,,2,2,90,不喜歡一大群人一起烤肉,3,,,,2,,,,4,5,,5,3,,,2,1,1,,0,0,1996,大學,2,學生,
99,2,2,,,,,,,,,,,,3,,,1,,3,3,,2,1,,,3,,2,2,5,,99,,,,4,,,,,,99,0,4,,,2,4,1,,1,0,1987,大學,6,待業或無業,
100,1,2,,,,,,,,,,,,1,,,2,,2,1,,1,1,,,1,,1,2,2,,3,,,,2,1,,,,,,6,3,,,1,2,1,,0,0,1979,大學,2,待業或無業,
101,1,2,,,,,,,,,,,,1,,,2,,3,2,,1,4,,,2,,1,2,1,,1,,,,3,1,2,3,4,,,5,2,,,1,1,2,,1,0,1961,大學,2,事務工作人員,
102,1,2,,,,,,,,,,,,92,,連烤肉都要別人來，要自家人自己烤才有趣味,2,,1,2,,1,1,,,1,,2,1,90,不好，大家一起吸大量污染空氣,3,,,,3,,,3,,,,7,4,,,1,2,2,,1,0,1990,大學,20,其他,
103,1,2,,,,,,,,,,,,1,,,2,,2,1,,1,2,,,1,,1,2,1,,1,,,,3,1,,3,4,,,10,3,,,1,1,1,,0,0,1998,大學,8,學生,
104,1,2,,,,,,,,,,,,3,,,2,,2,2,,1,4,,,1,,2,2,5,,3,,,,2,1,,,,5,,6,4,,,2,2,1,,1,0,1988,研究所以上,8,事務工作人員,
105,1,1,1,2,3,4,,6,,8,9,,90,3,,,1,,1,2,,2,1,,,1,,2,2,5,,3,,,,2,1,,3,4,,,6,4,,,1,2,1,,0,0,2001,高中/職,12,其他,
106,1,2,,,,,,,,,,,,3,,,1,,1,2,,1,1,,,1,,2,2,5,,3,,,,3,1,2,3,4,5,,3,3,,,2,2,2,,1,0,1974,專科,2,技術員及助理專業人員,
107,1,1,1,,,,,,,8,,,,3,,,2,,2,2,,2,2,,,1,,1,2,3,,2,,,都喜歡,1,,,3,,,,8,3,,,2,1,1,,0,7,1989,大學,15,專業人員,
108,2,2,,,,,,,,,,,,3,,,2,,2,2,,1,1,,,1,,2,2,5,,4,,,,2,1,,,,,,6,3,,,2,2,1,,1,0,1977,大學,15,技術員及助理專業人員,
109,1,2,,,,,,,,,,,,2,,,2,,1,2,,1,1,,,1,,2,2,5,,1,,,,1,1,,,4,,,3,2,,,2,2,1,,1,0,1981,研究所以上,1,服務工作人員及銷售員,
110,1,2,,,,,,,,,,,,2,,,2,,1,1,,1,1,,,1,,2,2,5,,99,,,,3,1,,3,4,,,6,4,,,2,2,2,,1,0,1980,研究所以上,2,專業人員,
111,1,1,1,2,3,,,,7,8,9,,,3,,,2,,1,2,,2,2,,,1,,2,2,4,,3,,,,2,1,2,3,4,5,,7,4,,,1,1,1,,1,4,1989,大學,1,待業或無業,
112,1,1,1,,,,,6,,,,,,3,,,2,,1,1,,1,1,,,1,,1,1,1,,1,,,,2,1,,3,4,5,,8,3,,,1,1,2,,0,0,1981,大學,15,服務工作人員及銷售員,
113,1,1,,,,4,,,7,,,,90,3,,,2,,2,1,,1,2,,,2,,2,2,4,,3,,,,2,1,,3,4,5,,10,3,,,2,1,1,,0,3,1995,專科,9,學生,
114,1,1,1,,,,,,,8,9,,,3,,,2,,1,1,,1,1,,,1,,2,2,5,,4,,,,3,1,2,,,5,,3,2,,,2,1,1,,1,0,1987,研究所以上,8,專業人員,
115,1,2,,,,,,,,,,,,3,,,2,,2,2,,1,2,,,1,,2,2,2,,3,,,,2,,,,,5,,5,3,,,2,2,1,,0,0,1988,大學,5,事務工作人員,
116,2,2,,,,,,,,,,,,3,,,1,,3,2,,1,2,,,1,,2,2,2,,3,,,,2,,,,,5,,5,3,,,2,2,1,,1,0,1988,大學,5,機械設備操作工及組裝工,
117,1,2,,,,,,,,,,,,92,,價格昂貴,1,,1,2,,1,1,,,1,,2,2,5,,1,,,,3,1,2,3,4,5,,5,4,,,2,2,1,,0,0,1987,研究所以上,4,技術工作及有關工作人員,
118,1,1,1,,,,,,7,8,,10,,3,,,1,,3,2,,2,4,,,2,,1,2,1,,1,,,,1,,,,4,,,6,2,,,2,1,1,,1,0,1994,大學,2,學生,
119,1,2,,,,,,,,,,,,3,,,2,,2,2,,1,1,,,2,,2,2,5,,3,,,,3,1,,,4,5,,5,3,,,2,2,2,,1,0,1981,大學,1,事務工作人員,
120,1,2,,,,,,,,,,,,2,,,2,,1,1,,1,3,,,2,,2,2,4,,3,,,,2,,,,,5,,5,2,,,2,1,1,,1,0,1992,大學,2,其他,
121,2,2,,,,,,,,,,,,92,,麻煩	,2,,3,1,,1,4,,,2,,2,1,4,,99,,,,2,,,,,,99,0,2,,,2,2,2,,0,0,1988,國/初中,9,其他,
